job_title,company,location,job_url,job_category
online english teacher,native camp,japan,https://weworkremotely.com/remote-jobs/native-camp-online-english-teacher-30,Other
managing editor,the swiftest,san francisco,https://weworkremotely.com/remote-jobs/the-swiftest-managing-editor,Other
full-stack engineer python/react/genai,toptal,remote,https://weworkremotely.com/remote-jobs/toptal-full-stack-engineer-python-react-genai,Back-End
freelance writer,prowritersites,new york,https://weworkremotely.com/remote-jobs/prowritersites-freelance-writer,Other
embedded firmware developer,toptal,remote,https://weworkremotely.com/remote-jobs/toptal-embedded-firmware-developer,Other
network engineer for ai automotive product,toptal,remote,https://weworkremotely.com/remote-jobs/toptal-network-engineer-for-ai-automotive-product,Product
financial model and prompt creator with spreadsheet expertise,toptal,remote,https://weworkremotely.com/remote-jobs/toptal-financial-model-and-prompt-creator-with-spreadsheet-expertise,Other
ai development advisor,newtonx,new york ny,https://weworkremotely.com/remote-jobs/newtonx-ai-development-advisor,Other
junior crypto analyst  trader,white bridge ltd,white bridge ltd,https://weworkremotely.com/remote-jobs/white-bridge-ltd-junior-crypto-analyst-trader,Management / Finance
remote data entry clerk,nogigiddy,atlanta georgia,https://weworkremotely.com/remote-jobs/nogigiddy-remote-data-entry-clerk-7,Other
ai trainer multiple roles  50-200/hr,helix recruit,singapore,https://weworkremotely.com/remote-jobs/helix-recruit-ai-trainer-multiple-roles-50-200-hr-2,Other
ft/pt remote ai prompt engineering  evaluation - will train,dataannotation.tech,new york ny,https://weworkremotely.com/remote-jobs/dataannotation-tech-ft-pt-remote-ai-prompt-engineering-evaluation-will-train,Other
strategic it advisor,newtonx,new york ny,https://weworkremotely.com/remote-jobs/newtonx-strategic-it-advisor-2,Other
senior machine learning engineer,zencastr,zencastr,https://weworkremotely.com/remote-jobs/zencastr-senior-machine-learning-engineer,Other
virtual financial advisor - minneapolis,thrivent,mpls-corporate center,https://weworkremotely.com/remote-jobs/thrivent-virtual-financial-advisor-minneapolis,Other
field service technician,fresenius medical care,atlanta ga usa,https://weworkremotely.com/remote-jobs/fresenius-medical-care-field-service-technician,Other
bilingual treatment design team manager,solventum,cr heredia virtual,https://weworkremotely.com/remote-jobs/solventum-bilingual-treatment-design-team-manager,Management / Finance
